rule_key,module,bucket,distinctScenarioCount,totalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,regexOnlyCount,hybridCount,semanticCount,astCount,regexOnlyOnlyExercised,scenarios,title,severity,finding_kind,family,language
guardian.hubspot-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Hubspot API Key,HIGH,SECRET,hubspot-api-key,
guardian.huggingface-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Huggingface Access Token,HIGH,SECRET,huggingface-access-token,
guardian.huggingface-organization-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Huggingface Organization API Token,HIGH,SECRET,huggingface-organization-api-token,
guardian.infracost-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Infracost API Token,HIGH,SECRET,infracost-api-token,
guardian.intercom-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Intercom API Key,HIGH,SECRET,intercom-api-key,
guardian.intra42-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Intra42 Client Secret,HIGH,SECRET,intra42-client-secret,
guardian.jfrog-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Jfrog API Key,HIGH,SECRET,jfrog-api-key,
guardian.jfrog-identity-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Jfrog Identity Token,HIGH,SECRET,jfrog-identity-token,
guardian.jwt,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,JWT,HIGH,SECRET,jwt,
guardian.jwt-base64,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,JWT Base64,HIGH,SECRET,jwt-base64,
guardian.kraken-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Kraken Access Token,HIGH,SECRET,kraken-access-token,
guardian.kubernetes-secret-yaml,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Kubernetes Secret Yaml,HIGH,SECRET,kubernetes-secret-yaml,
guardian.kucoin-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Kucoin Access Token,HIGH,SECRET,kucoin-access-token,
guardian.kucoin-secret-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Kucoin Secret Key,CRITICAL,SECRET,kucoin-secret-key,
guardian.launchdarkly-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Launchdarkly Access Token,HIGH,SECRET,launchdarkly-access-token,
guardian.linear-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Linear API Key,HIGH,SECRET,linear-api-key,
guardian.linear-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Linear Client Secret,HIGH,SECRET,linear-client-secret,
guardian.linkedin-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Linkedin Client ID,HIGH,SECRET,linkedin-client-id,
guardian.linkedin-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Linkedin Client Secret,HIGH,SECRET,linkedin-client-secret,
guardian.lob-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Lob API Key,HIGH,SECRET,lob-api-key,
guardian.lob-pub-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Lob Pub API Key,HIGH,SECRET,lob-pub-api-key,
