rule_key,module,family,language,title,severity,finding_kind,source_of_truth,pack_display_name,bootstrap_resource,active
guardian.heroku-api-key,guardian,heroku-api-key,,Heroku API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.heroku-api-key-v2,guardian,heroku-api-key-v2,,Heroku API Key V2,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.hubspot-api-key,guardian,hubspot-api-key,,Hubspot API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.huggingface-access-token,guardian,huggingface-access-token,,Huggingface Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.huggingface-organization-api-token,guardian,huggingface-organization-api-token,,Huggingface Organization API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.infracost-api-token,guardian,infracost-api-token,,Infracost API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.intercom-api-key,guardian,intercom-api-key,,Intercom API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.intra42-client-secret,guardian,intra42-client-secret,,Intra42 Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.jfrog-api-key,guardian,jfrog-api-key,,Jfrog API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.jfrog-identity-token,guardian,jfrog-identity-token,,Jfrog Identity Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.jwt,guardian,jwt,,JWT,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.jwt-base64,guardian,jwt-base64,,JWT Base64,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.kraken-access-token,guardian,kraken-access-token,,Kraken Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.kubernetes-secret-yaml,guardian,kubernetes-secret-yaml,,Kubernetes Secret Yaml,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.kucoin-access-token,guardian,kucoin-access-token,,Kucoin Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.kucoin-secret-key,guardian,kucoin-secret-key,,Kucoin Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.launchdarkly-access-token,guardian,launchdarkly-access-token,,Launchdarkly Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.linear-api-key,guardian,linear-api-key,,Linear API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.linear-client-secret,guardian,linear-client-secret,,Linear Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.linkedin-client-id,guardian,linkedin-client-id,,Linkedin Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.linkedin-client-secret,guardian,linkedin-client-secret,,Linkedin Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.lob-api-key,guardian,lob-api-key,,Lob API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
